Name,RAJ2000,DEJ2000,Galaxy,Vmag,Imag,T_eff,log_g,Fe_H,Mg_Fe,Si_Fe,Ca_Fe,Ti_Fe,Simbad,Star ID,Paper,logL,S_N,a_Fe,l_C_Fe,C_Fe,l_C_Fe_c,C_Fe_c,S2CH,Cstar,e_T_eff,vt,e_Fe_H,e_a_Fe,Ba_Fe,e_Ba_Fe,K10,o_Mg,e_Mg_Fe,o_Y,Y_Fe,e_Y_Fe,o_Ba,o_La,La_Fe,e_La_Fe,o_Nd,Nd_Fe,e_Nd_Fe,o_Eu,Eu_Fe,e_Eu_Fe,e_log_g,e_vt,Mn_Fe,e_Mn_Fe,K16,logeps_Mg,e_tot_Mg,logeps_Sc,e_tot_Sc,logeps_Ti,e_tot_Ti,logeps_Cr,e_tot_Cr,logeps_Mn,e_tot_Mn,logeps_Ni,e_tot_Ni,logeps_Zn,e_tot_Zn,logeps_Sr,e_tot_Sr,logeps_Ba,e_tot_Ba,logeps_Eu,e_tot_Eu,Jmag,Hmag,Kmag,l_RV,RV,e_RV,Co_Fe,e_Co_Fe,er_Co_Fe,Ni_Fe,e_Ni_Fe,er_Ni_Fe,o_Ni_Fe,er_Ba_Fe,o_Ba_Fe,er_Eu_Fe,A,Nmasks,HRV,e_HRV,Member,f_Mm,e_Si_Fe,e_Ca_Fe,e_Ti_Fe,ID_K15,ID_M16,f_MIC2016,Radius,gP1mag,e_gP1mag,iP1mag,e_iP1mag,Masks,sigma,EW,Fe_H_CaT,e_Fe_H_CaT,slitmask,SNR
1004711,14.8907917,-33.6574722,Scl,19.18600082397461,18.158000946044922,4676.0,1.75,-2.4700000286102295,0.7699999809265137,0.9599999785423279,0.5600000023841858,0.3100000023841858,Simbad,Scl_18,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004775,14.8909167,-33.7105278,Scl,18.819000244140625,17.711000442504883,4640.0,1.5099999904632568,-1.2599999904632568,,-0.14000000059604645,0.10000000149011612,-0.30000001192092896,Simbad,Scl_19,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004775,14.8909,-33.71053333,Scl,,,4639.0,1.5099999904632568,-1.2899999618530273,,,,,[KGS2010] Scl 1004775,Scl_19,Duggan 2018,,,-0.23000000417232513,,,,,,,38.0,1.7899999618530273,0.10000000149011612,0.10999999940395355,-0.4300000071525574,0.23000000417232513,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004775,14.8909167,-33.7105278,Scl,,,4639.0,1.5099999904632568,-1.2799999713897705,,,,,,Scl_19,Kirby 2015,2.4200000762939453,8.300000190734863,-0.23000000417232513,,-0.8600000143051147,,-0.4000000059604645,1.809999942779541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004692,14.8918333,-33.60425,Scl,18.9950008392334,17.97100067138672,4727.0,1.6799999475479126,-2.3399999141693115,,0.3799999952316284,0.6600000262260437,,Simbad,Scl_20,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004838,14.8920417,-33.7309167,Scl,18.746000289916992,17.649999618530273,4564.0,1.4900000095367432,-1.590000033378601,0.2199999988079071,0.23000000417232513,0.23999999463558197,0.0,Simbad,Scl_21,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004838,14.89204583,-33.73091111,Scl,,,4593.0,1.4900000095367432,-1.5700000524520874,,,,,[KGS2010] Scl 1004838,Scl_21,Duggan 2018,,,0.03999999910593033,,,,,,,32.0,1.7899999618530273,0.10000000149011612,0.10000000149011612,-0.23999999463558197,0.18000000715255737,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004838,14.8920417,-33.7309167,Scl,,,4592.0,1.4900000095367432,-1.5700000524520874,,,,,,Scl_21,Kirby 2015,2.440000057220459,9.600000381469727,0.03999999910593033,,-0.5899999737739563,,-0.15000000596046448,1.850000023841858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004861,14.8926667,-33.7218611,Scl,19.045000076293945,18.054000854492188,4866.0,1.7400000095367432,-1.7000000476837158,0.3100000023841858,0.20000000298023224,0.5,0.20000000298023224,Simbad,Scl_22,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004861,14.89267083,-33.72186944,Scl,,,4859.0,1.7400000095367432,-1.6799999475479126,,,,,[KGS2010] Scl 1004861,Scl_22,Duggan 2018,,,0.1599999964237213,,,,,,,46.0,1.7300000190734863,0.10999999940395355,0.10999999940395355,-0.5699999928474426,0.2199999988079071,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004861,14.8926667,-33.7218611,Scl,,,4858.0,1.7400000095367432,-1.6699999570846558,,,,,,Scl_22,Kirby 2015,2.2899999618530273,7.800000190734863,0.1599999964237213,,-0.6700000166893005,,-0.36000001430511475,1.6799999475479126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004754,14.8929583,-33.6218611,Scl,19.804000854492188,18.75,4659.0,1.9700000286102295,-1.6100000143051147,,0.3700000047683716,-0.07999999821186066,-0.11999999731779099,Simbad,Scl_23,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1004931,14.8967917,-33.6253056,Scl,18.66900062561035,17.584999084472656,4595.0,1.4800000190734863,-1.9700000286102295,,0.4000000059604645,0.6600000262260437,0.20000000298023224,Simbad,Scl_24,Kirby 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
