Paper,BibT,From,Facility,Resolution,Solar Abundance,Original Order,Bib
Masseron 2012,2012ApJ...751...14M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,"Asplund et al. (2005, ASPC, 336, 25)",285,2012ApJ...751...14M
Venn 2012,2012ApJ...751..102V,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and UVES on VLT in ESO,47000,"Asplund et al. (2009, ARA&A, 47, 481)",286,2012ApJ...751..102V
Aoki 2012,2012ApJ...751L...6A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",110000,"Asplund et al. (2009, ARA&A, 47, 481)",287,2012ApJ...751L...6A
Kirby 2012,2012ApJ...752L..16K,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,6500,self,288,2012ApJ...752L..16K
Ishigaki 2012,2012ApJ...753...64I,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Asplund et al. (2009, ARA&A, 47, 481)",289,2012ApJ...753...64I
Norris 2012,2012ApJ...753..150N,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Asplund et al. (2009, ARA&A, 47, 481)",290,2012ApJ...753..150N
Roederer 2012,2012ApJS..203...27R,SAGA,"HIRES on Keck I (HIRES, 10m)",45000,"Asplund et al. (2009, ARA&A, 47, 481)",291,2012ApJS..203...27R
Koch 2013,2013A&A...554A...5K,Alex Ji,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,20000,"Asplund et al. (2009, ARA&A, 47, 481)",292,2013A&A...554A...5K
Koch 2013,2013A&A...554A...5K,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,20000,"Asplund et al. (2009, ARA&A, 47, 481)",297,2013AAP...554A...5K
Cui 2013,2013A&A...558A..36C,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Grevesse & Sauval (1998, SSRv, 85, 161)",293,2013A&A...558A..36C
Cui 2013,2013A&A...558A..36C,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Grevesse & Sauval (1998, SSRv, 85, 161)",298,2013AAP...558A..36C
Starkenburg 2013,2013A&A...549...88S,SAGA,X-Shooter spectrograph on VLT in ESO,11000,"Grevesse & Sauval (1998, SSRv, 85, 161)",294,2013AAP...549...88S
Spite 2013,2013A&A...552A.107S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",39000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44) / Caffau et al. (2011, Sol. Phys., 268, 255)",295,2013AAP...552A.107S
Mishenina 2013,2013A&A...552A.128M,SAGA,ELODIE spectrograph on the Haute Provence Observatoir (1.93m),42000,unregistered,296,2013AAP...552A.128M
Caffau 2013,2013A&A...560A..15C,SAGA,X-Shooter spectrograph on VLT in ESO,12000,"Caffau et al. (2011, Sol. Phys., 268, 255) / Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44)",299,2013AAP...560A..15C
Aoki 2013,2013AJ....145...13A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",36000,"Asplund et al. (2009, ARA&A, 47, 481)",300,2013AJ....145...13A
Shetrone 2013,2013AJ....145..123S,SAGA,Low Resolution Imaging Spectrometer (LRIS) on Keck I,630,"Cohen & Huang (2009, ApJ, 701, 1053)",301,2013AJ....145..123S
Norris 2013,2013ApJ...762...25N,SAGA,"HIRES on Keck I (HIRES, 10m)",48000,"Grevesse et al. (2007 SSRv, 130, 105)",302,2013ApJ...762...25N
Yong 2013,2013ApJ...762...26Y,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",high,"Asplund et al. (2009, ARA&A, 47, 481)",303,2013ApJ...762...26Y
Gilmore 2013,2013ApJ...763...61G,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and UVES on VLT in ESO,47000,"Asplund et al. (2009, ARA&A, 47, 481)",304,2013ApJ...763...61G
Gilmore 2013,"2013ApJ...763...61G, 2010ApJ...711..350N",Alex Ji,Fibre Large Array Multi Element Spectrograph (FLAMES) and UVES on VLT in ESO,47000,"Asplund et al. (2009, ARA&A, 47, 481)",305,"2013ApJ...763...61G, 2010ApJ...711..350N"
Gilmore 2013,"2013ApJ...763...61G, 2010ApJ...711..350N, 2014A&A...562A.146I",Alex Ji,Fibre Large Array Multi Element Spectrograph (FLAMES) and UVES on VLT in ESO,47000,"Asplund et al. (2009, ARA&A, 47, 481)",306,"2013ApJ...763...61G, 2010ApJ...711..350N, 2014A&A...562A.146I"
Gilmore 2013,"2013ApJ...763...61G, 2011ApJ...738...51L",Alex Ji,Fibre Large Array Multi Element Spectrograph (FLAMES) and UVES on VLT in ESO,47000,"Asplund et al. (2009, ARA&A, 47, 481)",307,"2013ApJ...763...61G, 2011ApJ...738...51L"
Li 2013,2013ApJ...765...51L,SAGA,Cryogenic high-resolution Infrared Echelle Spectrograph (CRIRES) on VLT in ESO,100000,"Anders and Grevesse (1989, GeCoA, 53, 197)",308,2013ApJ...765...51L
Vargas 2013,2013ApJ...767..134V,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,6000,"Asplund et al. (2009, ARA&A, 47, 481)",309,2013ApJ...767..134V
Kirby 2013,2013ApJ...770...16K,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,7000,self,310,2013ApJ...770...16K
Placco 2013,2013ApJ...770..104P,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",311,2013ApJ...770..104P
Ishigaki 2013,2013ApJ...771...67I,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",50000,"Asplund et al. (2009, ARA&A, 47, 481)",312,2013ApJ...771...67I
Ito 2013,2013ApJ...773...33I,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Asplund et al. (2009, ARA&A, 47, 481)",313,2013ApJ...773...33I
Cohen 2013,2013ApJ...778...56C,SAGA,"HIRES on Keck I (HIRES, 10m)",36000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",314,2013ApJ...778...56C
Kirby 2013,2013ApJ...779..102K,Manual Compilation,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,7100,"Asplund et al. (2005, ASPC, 336, 25)",315,2013ApJ...779..102K
Ishigaki 2014,2014A&A...562A.146I,JINA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",40000,"Asplund et al. (2009, ARA&A, 47, 481)",316,2014A&A...562A.146I
Ishigaki 2014,2014A&A...562A.146I,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",40000,"Asplund et al. (2009, ARA&A, 47, 481)",323,2014AAP...562A.146I
Ishigaki 2014,"2014A&A...562A.146I, 2010ApJ...711..350N",Alex Ji,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",40000,"Asplund et al. (2009, ARA&A, 47, 481)",317,"2014A&A...562A.146I, 2010ApJ...711..350N"
SiqueiraMello 2014,2014A&A...565A..93S,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",55000,self,318,2014A&A...565A..93S
SiqueiraMello 2014,2014A&A...565A..93S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",55000,self,324,2014AAP...565A..93S
Masseron 2014,2014A&A...569A..43M,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",50000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44) ",319,2014A&A...569A..43M
Spite 2014,2014A&A...571A..40S,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,self,320,2014A&A...571A..40S
Caliskan 2014,2014A&A...571A..62C,JINA,High Accuracy Radial velocity Planet Searcher (HARPS) spectrogrpah at ESO (3.6m),115000,"Lodders (2003, ApJ, 591, 1220)",321,2014A&A...571A..62C
Caliskan 2014,2014A&A...571A..62C,SAGA,High Accuracy Radial velocity Planet Searcher (HARPS) spectrogrpah at ESO (3.6m),115000,"Lodders (2003, ApJ, 591, 1220)",327,2014AAP...571A..62C
Bensby 2014,2014A&A...562A..71B,SAGA,"Fibre-fed Extended Range echelle Spectrograph (FEROS), at ESO (1.52m)",48000,"Asplund et al. (2005, ASPC, 336, 25)",322,2014AAP...562A..71B
Mashonkina 2014,2014A&A...569A..43M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",50000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44)",325,2014AAP...569A..43M
Spite 2014,2014A&A...571A..40S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,self,326,2014AAP...571A..40S
Hendricks 2014,2014A&A...572A..82H,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,16000,self,328,2014AAP...572A..82H
Lemasle 2014,2014A&A...572A..88L,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,22500,self,329,2014AAP...572A..88L
Roederer 2014,2014AJ....147..136R,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,33000,"Asplund et al. (2009, ARA&A, 47, 481)",330,2014AJ....147..136R
Placco 2014,2014ApJ...781...40P,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",331,2014ApJ...781...40P
Roederer 2014,2014ApJ...784..158R,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,33000,"Asplund et al. (2009, ARA&A, 47, 481)",332,2014ApJ...784..158R
Frebel 2014,2014ApJ...786...74F,SAGA,"HIRES on Keck I (HIRES, 10m)",37500,"Asplund et al. (2009, ARA&A, 47, 481)",333,2014ApJ...786...74F
Kennedy 2014,2014ApJ...787....6K,SAGA,"Wide-Field Spectrograph (WiFeS) on the ANU 2.3m Telescope (ANU, 2.3m)",7000,"Asplund et al. (2009, ARA&A, 47, 481)",334,2014ApJ...787....6K
Hansen 2014,2014ApJ...787..162H,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,"Asplund et al. (2009, ARA&A, 47, 481)",335,2014ApJ...787..162H
Placco 2014,2014ApJ...790...34P,SAGA,STIS on HST,30000,"Asplund et al. (2009, ARA&A, 47, 481)",336,2014ApJ...790...34P
Roederer 2014,2014ApJ...791...32R,SAGA,STIS on HST,30000,unregistered,337,2014ApJ...791...32R
Koch 2014,2014ApJ...794...89K,SAGA,"HIRES on Keck I (HIRES, 10m)",36000,"Asplund et al. (2009, ARA&A, 47, 481)",338,2014ApJ...794...89K
Schlaufman 2014,2014ApJ...797...13S,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),41000,self,339,2014ApJ...797...13S
Roederer 2014,2014ApJ...797...69R,JINA,"STIS on HST, Barbara A. Mikulski Archive for Space Telescopes (MAST)",30000,"Asplund et al. (2009, ARA&A, 47, 481)",340,2014ApJ...797...69R
Roederer 2014,2014MNRAS.445.2970R,SAGA,MIKE spectrograph of the Magellan Baade telescope at Las Campanas Observatory (Baade/MIKE 6.5m),41000,"Asplund et al. (2009, ARA&A, 47, 481)",341,2014MNRAS.445.2970R
Keller 2014,2014Natur.506..463K,JINA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",342,2014Natur.506..463K
Keller 2014,2014Natur.506..463K,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",343,2014Nature.506..463K
Aoki 2014,2014Sci...345..912A,JINA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2009, ARA&A, 47, 481)",344,2014Sci...345..912A
Aoki 2014,2014Sci...345..912A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2009, ARA&A, 47, 481)",345,2014Science.345..912A
Skuladottir 2015,2015A&A...574A.129S,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Grevesse & Sauval (1998, SSRv, 85, 161)",346,2015A&A...574A.129S
Skuladottir 2015,2015A&A...574A.129S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Grevesse & Sauval (1998, SSRv, 85, 161)",348,2015AAP...574A.129S
Li 2015,2015A&A....15.1264L,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",36000,"Asplund et al. (2009, ARA&A, 47, 481)",347,2015AAP....15.1264L
Bonifacio 2015,2015A&A...579A..28B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44) / Caffau et al. (2011, Sol. Phys., 268, 255)",349,2015AAP...579A..28B
Fabrizio 2015,2015A&A...580A..18F,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",40000,"Grevesse et al. (2007 SSRv, 130, 105)",350,2015AAP...580A..18F
Skuladottir 2015,2015A&A...580A.129S,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,19000,"Grevesse & Sauval (1998, SSRv, 85, 161) / Caffau et al. (2011, Sol. Phys., 268, 255)",351,2015AAP...580A.129S
Spite 2015,2015A&A...582...74S,SAGA,X-Shooter spectrograph on VLT in ESO,11000,unregistered,352,2015AAP...582...74S
Jablonka 2015,2015A&A...583A..67J,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,unregistered,353,2015AAP...583A..67J
SiqueiraMello 2015,2015A&A...584...86S,SAGA,Echelle SpectroPolarimetric Device for the Observation of Stars (ESPaDOnS) at CFHT,81000,"Asplund et al. (2009, ARA&A, 47, 481)",354,2015AAP...584...86S
Li 2015,2015ApJ...798..110L,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",355,2015ApJ...798..110L
Kirby 2015,2015ApJ...801..125K,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,2100,"Anders and Grevesse (1989, GeCoA, 53, 197) / Sneden et al. (1991, AJ, 102, 2001)",356,2015ApJ...801..125K
Simon 2015,2015ApJ...802...93S,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),25000,"Asplund et al. (2009, ARA&A, 47, 481)",357,2015ApJ...802...93S
Jacobson 2015,2015ApJ...807..171J,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",358,2015ApJ...807..171J
Hansen 2015,2015ApJ...807..173H,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",45000,"Asplund et al. (2009, ARA&A, 47, 481)",359,2015ApJ...807..173H
Casey 2015,2015ApJ...809..110C,JINA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),41000,"Asplund et al. (2009, ARA&A, 47, 481)",360,2015ApJ...809..110C
Placco 2015,2015ApJ...809..136P,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",361,2015ApJ...809..136P
Frebel 2015,2015ApJ...810L..27F,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",362,2015ApJ...810L..27F
Placco 2015,2015ApJ...812..109P,SAGA,"HIRES on Keck I (HIRES, 10m)",103000,"Asplund et al. (2009, ARA&A, 47, 481)",363,2015ApJ...812..109P
Hollek 2015,2015ApJ...814..121H,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),56000,"Asplund et al. (2009, ARA&A, 47, 481)",364,2015ApJ...814..121H
Ural 2015,2015MNRAS.449..761U,SAGA,"HIRES on Keck I (HIRES, 10m)",high,"Asplund et al. (2009, ARA&A, 47, 481)",365,2015MNRAS.449..761U
Howes 2015,2015Natur.527..484H,JINA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",366,2015Natur.527..484H
Li 2015,2015PASJ...67...84L,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2009, ARA&A, 47, 481)",367,2015PASJ...67...84L
Tsujimoto 2015,2015PASJ...67L...3T,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",30000,"Asplund et al. (2009, ARA&A, 47, 481)",368,2015PASJ...67L...3T
Li 2015,2015RAA....15.1264L,JINA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",36000,"Asplund et al. (2009, ARA&A, 47, 481)",369,2015RAA....15.1264L
Koch 2015,2016A&A...587A.124K,JINA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),45000,"Asplund et al. (2009, ARA&A, 47, 481)",370,2015yCat..35870124K
Melendez 2016,2016A&A...585L...5M,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",50000,unregistered,371,2016A&A...585L...5M
Melendez 2016,2016A&A...585L...5M,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",50000,unregistered,375,2016AAP...585L...5M
Francois 2016,2016A&A...588A...7F,Alex Ji,X-Shooter spectrograph on VLT in ESO,12600,"Grevesse & Sauval (2000, orel.conf., 261)",372,2016A&A...588A...7F
Francois 2016,2016A&A...588A...7F,SAGA,X-Shooter spectrograph on VLT in ESO,12600,"Grevesse & Sauval (2000, orel.conf., 261)",376,2016AAP...588A...7F
Yan 2016,2016A&A...585..102Y,SAGA,"FIbre-fed Echelle Spectrograph (FIES) at the Nordic Optical Telescope (NOT, 2.65m)",40000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44)",373,2016AAP...585..102Y
Lardo 2016,2016A&A...585A..70L,SAGA,Visible Multi-Object Spectrograph (VIMOS) on VLT in ESO,1100,"Asplund et al. (2009, ARA&A, 47, 481)",374,2016AAP...585A..70L
Aguado 2016,2016A&A...593...10A,SAGA,"High Resolution Spectrograph (HRS) on the Hobby-Eberly Telescope (HET, 9.2m)",15000,"Asplund et al. (2005, ASPC, 336, 25)",377,2016AAP...593...10A
Caffau 2016,2016A&A...595L...6C,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",29000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44) / Caffau et al. (2011, Sol. Phys., 268, 255)",378,2016AAP...595L...6C
Roederer 2016,2016AJ....151...82R,SAGA,Michigan/Magellan Fiber System (M2FS) spectrograph on Clay Telescope (MagellanII) at Las Campanas Observatory (Magellan II/M2FS 6.5m),30000,"Asplund et al. (2009, ARA&A, 47, 481)",379,2016AJ....151...82R
Ji 2016,2016ApJ...817...41J,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",380,2016ApJ...817...41J
Martin 2016,2016ApJ...818...40M,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,high,self,381,2016ApJ...818...40M
Roederer 2016,2016ApJ...821...37R,SAGA,STIS on HST,110000,"Asplund et al. (2009, ARA&A, 47, 481)",382,2016ApJ...821...37R
Roederer 2016,2016ApJ...824L..19R,SAGA,Cosmic Origins Spectrograph on HST,17000,"Asplund et al. (2009, ARA&A, 47, 481)",383,2016ApJ...824L..19R
Placco 2016,2016ApJ...829...24P,SAGA,"HIRES on Keck I (HIRES, 10m)",95000,"Asplund et al. (2009, ARA&A, 47, 481)",384,2016ApJ...829...24P
Ji 2016,2016ApJ...830...93J,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",385,2016ApJ...830...93J
Ji 2016,"2016ApJ...830...93J, 2016AJ....151...82R",Alex Ji,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)n",386,"2016ApJ...830...93J, 2016AJ....151...82R"
Ji 2016,2016ApJ...832L...3J,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)n",387,2016ApJ...832L...3J
Placco 2016,2016ApJ...833...21P,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),35000,"Asplund et al. (2009, ARA&A, 47, 481)",388,2016ApJ...833...21P
SusmithaRani 2016,2016MNRAS.458.2648S,SAGA,Apache Point Observatory (APO) 3.5 m Telescope (3.5m),31500,"Grevesse & Sauval (1998, SSRv, 85, 161)",389,2016MNRAS.458.2648S
Howes 2016,2016MNRAS.460..884H,JINA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",390,2016MNRAS.460..884H
Ji 2016,2016Natur.531..610J,JINA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",391,2016Natur.531..610J
Ji 2016,2016Natur.531..610J,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",392,2016Nature.531..610J
Hansen 2017,2017A&A...598A..54H,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),57000,self,393,2017AAP...598...54H
Prakapavicius 2017,2017A&A...599A.128P,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",60000,"Asplund et al. (2005, ASPC, 336, 25)",394,2017AAP...599..128P
Spite 2017,2017A&A...600A..26S,SAGA,High Accuracy Radial velocity Planet Searcher (HARPS) spectrogrpah at ESO (3.6m),115000,"Caffau et al. (2011, Sol. Phys., 268, 255) / Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44)",395,2017AAP...600...26S
Aguado 2017,2017A&A...604A...9A,SAGA,Optical System for Imaging and low-Intermediate-Resolution Integrated Spectroscopy (OSIRIS) on Gran Telescopio CANARIAS (GTC 10.4m),2300,self,396,2017AAP...604....9A
Skuladottir 2017,2017A&A...606A..71S,SAGA,Fibre Large Array Multi Element Spectrograph (FLAMES) and GIRAFFE on VLT in ESO,19500,"Grevesse & Sauval (1998, SSRv, 85, 161)",397,2017AAP...606A..71S
Matsuno 2017,2017AJ....154...52M,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2009, ARA&A, 47, 481)",398,2017AJ....154...52M
Caffau 2017,2017AN....338..686C,SAGA,FEROS on La Silla 2.2 m Max-Planck Telescope at ESO (2.2m),48000,"Caffau et al. (2011, Sol. Phys., 268, 255)",399,2017AN....338..686C
Kirby 2017,2017ApJ...834....9K,Manual Compilation,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,7000,"Anders and Grevesse (1989, GeCoA, 53, 197)",400,2017ApJ...834....9K
Karinkuzhi 2017,2017ApJ...834...61K,SAGA,"Fibre-fed Extended Range echelle Spectrograph (FEROS), at ESO (1.52m)",48000,"Asplund et al. (2009, ARA&A, 47, 481)",401,2017ApJ...834...61K
Aoki 2017,2017ApJ...837....8A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,"Asplund et al. (2009, ARA&A, 47, 481)",402,2017ApJ...837....8A
Hansen 2017,2017ApJ...838...44H,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),28000,"Asplund et al. (2009, ARA&A, 47, 481)",403,2017ApJ...838...44H
Kirby 2017,2017ApJ...838...83K,SAGA,DEep Imaging Multi-Object Spectrograph (DEIMOS) on Keck II,7000,"Asplund et al. (2009, ARA&A, 47, 481)",404,2017ApJ...838...83K
O'Malley 2017,2017ApJ...838...90O,SAGA,"HIRES on Keck I (HIRES, 10m)",70500,self,405,2017ApJ...838...90O
Placco 2017,2017ApJ...844...18P,SAGA,MIKE spectrograph of the Magellan Clay telescope at Las Campanas Observatory (Clay/MIKE 6.5m),66000,"Asplund et al. (2009, ARA&A, 47, 481)",406,2017ApJ...844...18P
Tsujimoto 2017,2017ApJ...850L..12T,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",45000,self,407,2017ApJ...850L..12T
Norris 2017,2017ApJS..230...28N,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Asplund et al. (2009, ARA&A, 47, 481)",408,2017ApJS..230...28N
Venn 2017,2017MNRAS.466.3741V,SAGA,Gemini Remote Access to CFHT Echelle SpectroPolarimetric Device for the Observation of Stars (ESPaDOnS) Spectrograph (GRACES),20000,"Asplund et al. (2009, ARA&A, 47, 481)",409,2017MNRAS.466.3741V
Pereira 2017,2017MNRAS.469..774P,SAGA,FEROS on La Silla 2.2 m Max-Planck Telescope at ESO (2.2m),48000,"unregistered / Grevesse & Sauval (1998, SSRv, 85, 161)",410,2017MNRAS.469..774P
Mishenina 2017,2017MNRAS.469.4378M,SAGA,SOPHIE spectrograph on the Haute Provence Observatoir (1.93m),75000,"unregistered / Den Hartog et al. (2006, ApJS, 167, 292) / Lawler et al. (2006, ApJS, 162, 227)",411,2017MNRAS.469.4378M
Kielty 2017,2017MNRAS.471..404K,SAGA,Apache Point Observatory Galactic Evolution Experiment (APOGEE) with Sloan Foundation 2.5m Telescope at APO (2.5m),22500,"Caffau et al. (2011, Sol. Phys., 268, 255) / Asplund et al. (2009, ARA&A, 47, 481)",412,2017MNRAS.471..404K
Roriz 2017,2017MNRAS.472..350R,SAGA,"Fibre-fed Extended Range echelle Spectrograph (FEROS), at ESO (1.52m)",48000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",413,2017MNRAS.472..350R
Matsuno 2017,2017PASJ...69...24M,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",60000,"Asplund et al. (2009, ARA&A, 47, 481)",414,2017PASJ...69...24M
Spite 2018,2018A&A...611A..30S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44)",416,2018AAP...611A..30S
Bonifacio 2018,2018A&A...612A..65B,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",30000,"Lodders et al. (2009, Landolt-Boernstein, New Series; 4B, 44) / Caffau et al. (2011, Sol. Phys., 268, 255)",417,2018AAP...612A..65B
