Paper,BibT,From,Facility,Resolution,Solar Abundance,Original Order,Bib
Sneden 2003,2003ApJ...591..936S,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,"Grevesse & Sauval (1998, SSRv, 85, 161)",73,2003ApJ...591..936S
Sneden 2003,2003ApJ...592..504S,SAGA,"2D-FRUTTI detector of the du Pont telescope at Las Campanas Observatory (du Pont, 2.5m)",30000,unregistered,74,2003ApJ...592..504S
Ivans 2003,2003ApJ...592..906I,SAGA,"2D-FRUTTI detector of the du Pont telescope at Las Campanas Observatory (du Pont, 2.5m)",20000,"Anders and Grevesse (1989, GeCoA, 53, 197) / unregistered",75,2003ApJ...592..906I
Aoki 2003,2003ApJ...592L..67A,SAGA,"High Dispersion Spectrograph (HDS) on Subaru (HDS, 8.2m)",90000,self,76,2003ApJ...592L..67A
Fulbright 2003,2003ApJ...595.1154F,SAGA,Gecko echelle spectrograph on Canada-France-Hawaii Telescope (CFHT),130000,"unregistered / Allende Prieto et al. (2001, ApJ, 556, L63)",77,2003ApJ...595.1154F
Yong 2003,2003ApJ...599.1357Y,SAGA,2d-coude on 2.7m H.J.Smith Telescope in McDonald Obs.,60000,self,78,2003ApJ...599.1357Y
Sivarani 2004,2004A&A...413.1073S,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,unregistered,79,2004A&A...413.1073S
Sivarani 2004,2004A&A...413.1073S,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",43000,unregistered,81,2004AAP...413.1073S
Cayrel 2004,2004A&A...416.1117C,JINA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",80,2004A&A...416.1117C
Cayrel 2004,2004A&A...416.1117C,SAGA,"UVES on Unit Telescope 2 (Kueyen) on VLT in ESO (UVES, 8m)",47000,"Grevesse & Sauval (1998, SSRv, 85, 161) / unregistered",86,2004AAP...416.1117C
